sequence,question_index,question_id,length_category,question_type,official_correct,output_status,observable_reason,metric_error,threshold,unit,candidate_count,reference_entry_ids,reference_all_in_candidate_pool,reference_entry_recall_in_pool,target_tokens,reference_target_token_coverage,diagnostic_flags,elapsed_seconds
0,0,LONG_5a6cef0c-175d-4779-bfd4-f7b193fb9039,long,time,True,valid,correct,0.45999999999999996,2.0,min,150,[183],True,1.0,"[""build"", ""leave""]",1.0,[],45.43595552444458
0,1,LONG_8f32d561-e898-453c-ae99-2e53745389e1,long,time,False,valid,time_threshold_miss,3.796666666666667,2.0,min,174,[135],True,1.0,"[""build"", ""enter"", ""first""]",0.0,"[""reference_caption_target_token_gap_proxy""]",58.093730449676514
0,2,LONG_cbe5ca33-b001-47c4-9397-aca6d275e5e4,long,duration,False,valid,duration_threshold_miss,11.120000000000001,2.0,min,228,"[137, 183]",True,1.0,"[""build"", ""long""]",0.5,[],23.412217617034912
0,3,LONG_115fe136-a8ee-43f7-858d-a0a357c03fad,long,position,False,valid,position_threshold_miss,97.11004855989998,15.0,m,165,[161],True,1.0,"[""closest"", ""place"", ""sit""]",0.0,"[""reference_caption_target_token_gap_proxy""]",42.57928943634033
0,4,LONG_7213d1b5-0f7a-4361-b779-c6689042ae8a,long,position,False,valid,position_threshold_miss,77.18487169215919,15.0,m,241,[200],True,1.0,"[""call"", ""pole"", ""police"", ""yellow""]",0.5,[],36.119722843170166
0,5,LONG_74167a94-2255-4d16-bb78-db37801acc0a,long,position,False,valid,position_threshold_miss,75.94460972355543,15.0,m,203,[123],True,1.0,"[""bill"", ""build"", ""computer"", ""front"", ""gate"", ""melinda"", ""science"", ""statue""]",0.125,[],42.614731311798096
0,6,LONG_f4661173-26c9-4939-824c-a238736d53ef,long,position,False,valid,position_threshold_miss,71.03141907291251,15.0,m,185,[165],True,1.0,"[""bin"", ""nearest"", ""recycl""]",0.6666666666666666,[],45.625117778778076
0,7,LONG_242c13b6-b47f-4022-9697-02611d770526,long,position,True,valid,correct,10.06188279308883,15.0,m,194,[220],True,1.0,"[""boat"", ""hang"", ""sculpture""]",0.3333333333333333,[],23.937427759170532
0,8,LONG_82e9a231-76cf-446e-9a04-4afd6c831b2d,long,binary,False,valid,binary_label_mismatch,0,1.0,,198,[206],True,1.0,"[""brick"", ""busy"", ""sidewalk""]",0.6666666666666666,[],35.507976770401
0,9,LONG_38a496dc-1afd-4e26-b8b2-c6640cab0499,long,position,False,valid,position_threshold_miss,66.5692118469958,15.0,m,192,[175],True,1.0,"[""closest"", ""elevator""]",0.0,"[""reference_caption_target_token_gap_proxy""]",19.581249713897705
